행정동코드,상권업종중분류명,store_count
41113540,식물 소매,2
41113540,안경·정밀기기 소매,3
41113540,애완동물·용품 소매,4
41113540,여행사·보조,2
41113540,연료 소매,4
41113540,오락용품 소매,9
41113540,욕탕·신체관리,7
41113540,운송장비 대여,4
41113540,유원지·오락,37
41113540,음료 소매,3
41113540,의약·화장품 소매,19
41113540,의원,13
41113540,이용·미용,97
41113540,인쇄·제품제작,8
41113540,일반 교육,20
41113540,일식,6
41113540,자동차 부품 소매,4
41113540,자동차 수리·세차,16
41113540,장식품 소매,1
41113540,전문 디자인,19
41113540,종합 소매,46
41113540,주점,38
41113540,중고 상품 소매,5
41113540,중식,10
41113540,철물·건설자재 소매,16
41113540,청소·방제,20
41113540,컴퓨터 수리,4
41113540,한식,108
41113540,회계·세무,1
41113550,가구 소매,1
41113550,가전·통신 소매,21
41113550,가전제품 수리,10
41113550,가정용품 대여,1
41113550,고용 알선,14
41113550,광고,38
41113550,교육 지원,3
41113550,구내식당·뷔페,26
41113550,기술 서비스,49
41113550,기타 가정용품 수리,6
41113550,기타 간이,83
41113550,기타 교육,67
41113550,기타 사업 서비스,10
41113550,기타 상품 소매,18
41113550,기타 생활용품 소매,22
41113550,기타 숙박,1
41113550,기타 전문 과학,5
41113550,도서관·사적지,5
41113550,동남아시아,1
41113550,모터사이클 소매,2
41113550,모터사이클 수리,1
41113550,법무관련 ,5
41113550,병원,6
41113550,본사·경영 컨설팅,41
41113550,부동산 서비스,85
41113550,비알코올 ,91
41113550,사무 지원,3
41113550,사진 촬영,8
41113550,산업용품 대여,9
41113550,서양식,7
41113550,섬유·의복·신발 소매,41
41113550,세탁,8
41113550,수의,2
41113550,스포츠 서비스,51
41113550,시계·귀금속 소매,4
41113550,시설관리,12
41113550,시장 조사,5
41113550,식료품 소매,34
41113550,식물 소매,12
41113550,안경·정밀기기 소매,7
41113550,애완동물·용품 소매,10
41113550,여행사·보조,4
41113550,연료 소매,33
41113550,오락용품 소매,34
41113550,욕탕·신체관리,1
41113550,운송장비 대여,11
41113550,유원지·오락,33
41113550,음료 소매,1
41113550,의약·화장품 소매,36
41113550,의원,37
41113550,이용·미용,87
41113550,인쇄·제품제작,22
41113550,일반 교육,37
41113550,일반 숙박,4
41113550,일식,5
41113550,자동차 부품 소매,34
41113550,자동차 수리·세차,295
41113550,장례식장 ,2
41113550,장식품 소매,1
41113550,전문 디자인,28
41113550,조경·유지,2
41113550,종합 소매,91
41113550,주점,31
41113550,중고 상품 소매,1
41113550,중식,26
41113550,철물·건설자재 소매,29
41113550,청소·방제,26
41113550,컴퓨터 수리,7
41113550,한식,210
41113550,회계·세무,10
41113560,가구 소매,2
41113560,가전·통신 소매,25
41113560,가전제품 수리,29
41113560,가정용품 대여,3
41113560,고용 알선,16
41113560,광고,18
41113560,교육 지원,5
41113560,구내식당·뷔페,6
41113560,기술 서비스,14
41113560,기타 가정용품 수리,13
41113560,기타 간이,89
41113560,기타 개인,6
41113560,기타 교육,73
41113560,기타 보건,2
41113560,기타 사업 서비스,8
41113560,기타 상품 소매,13
41113560,기타 생활용품 소매,10
41113560,기타 숙박,2
41113560,기타 전문 과학,1
41113560,담배 소매,2
41113560,도서관·사적지,2
41113560,동남아시아,4
41113560,모터사이클 수리,4
41113560,법무관련 ,2
41113560,본사·경영 컨설팅,20
41113560,부동산 서비스,54
41113560,비알코올 ,54
41113560,사무 지원,3
41113560,사진 촬영,4
41113560,산업용품 대여,6
41113560,서양식,11
41113560,섬유·의복·신발 소매,216
41113560,세탁,19
41113560,수의,1
41113560,스포츠 서비스,37
41113560,시계·귀금속 소매,11
41113560,시설관리,4
41113560,식료품 소매,44
41113560,식물 소매,9
41113560,안경·정밀기기 소매,11
41113560,애완동물·용품 소매,5
41113560,여행사·보조,3
41113560,연료 소매,14
41113560,오락용품 소매,24
41113560,욕탕·신체관리,8
41113560,운송장비 대여,6
41113560,유원지·오락,52
41113560,음료 소매,3
41113560,의약·화장품 소매,30
41113560,의원,35
41113560,이용·미용,105
41113560,인쇄·제품제작,7
41113560,일반 교육,24
41113560,일반 숙박,12
41113560,일식,17
41113560,자동차 부품 소매,20
41113560,자동차 수리·세차,49
41113560,장식품 소매,2
41113560,전문 디자인,31
41113560,조경·유지,1
41113560,종합 소매,91
41113560,주점,26
41113560,중고 상품 소매,7
41113560,중식,16
41113560,철물·건설자재 소매,18
41113560,청소·방제,28
41113560,컴퓨터 수리,4
41113560,통신장비 수리,1
41113560,한식,207
41113560,회계·세무,6
41113650,가구 소매,2
41113650,가전·통신 소매,16
41113650,가전제품 수리,11
41113650,가정용품 대여,3
41113650,고용 알선,8
41113650,광고,5
41113650,교육 지원,1
41113650,구내식당·뷔페,1
41113650,기술 서비스,11
41113650,기타 가정용품 수리,10
41113650,기타 간이,65
41113650,기타 교육,30
41113650,기타 보건,1
41113650,기타 사업 서비스,1
41113650,기타 상품 소매,6
41113650,기타 생활용품 소매,11
41113650,기타 전문 과학,4
41113650,담배 소매,3
41113650,도서관·사적지,2
41113650,모터사이클 수리,2
41113650,법무관련 ,2
41113650,본사·경영 컨설팅,6
41113650,부동산 서비스,33
41113650,비알코올 ,36
41113650,사진 촬영,5
41113650,산업용품 대여,3
41113650,서양식,6
41113650,섬유·의복·신발 소매,54
41113650,세탁,9
41113650,수의,2
41113650,스포츠 서비스,20
41113650,시계·귀금속 소매,3
41113650,시설관리,2
41113650,식료품 소매,37
41113650,식물 소매,3
41113650,안경·정밀기기 소매,7
41113650,애완동물·용품 소매,8
41113650,여행사·보조,3
41113650,연료 소매,3
41113650,오락용품 소매,16
41113650,욕탕·신체관리,5
41113650,운송장비 대여,3
41113650,유원지·오락,23
41113650,음료 소매,2
41113650,의약·화장품 소매,16
41113650,의원,9
41113650,이용·미용,68
41113650,인쇄·제품제작,9
41113650,일반 교육,21
41113650,일반 숙박,15
41113650,일식,8
41113650,자동차 부품 소매,7
41113650,자동차 수리·세차,30
41113650,장식품 소매,4
41113650,전문 디자인,17
41113650,종합 소매,40
41113650,주점,25
41113650,중고 상품 소매,6
41113650,중식,10
41113650,철물·건설자재 소매,5
41113650,청소·방제,19
41113650,컴퓨터 수리,5
41113650,통신장비 수리,1
41113650,한식,150
41113662,가구 소매,3
41113662,가전·통신 소매,16
41113662,가전제품 수리,13
41113662,가정용품 대여,3
41113662,고용 알선,4
41113662,광고,11
41113662,교육 지원,6
41113662,구내식당·뷔페,3
41113662,기술 서비스,18
